DISTRICT,HISP,NH_WHITE,NH_BLACK,NH_ASIAN
0,103533.00234558854,14873.003644090206,138191.99994444108,1942.0000110063875
1,127797.00011064802,46544.000014081845,99075.99997807817,1584.000006571419
2,39823.810517019505,27989.000006708913,202608.64734630042,5161.000001612735
3,7607.999993940791,39945.9999945912,226102.00028468992,580.9999992555648
4,168717.37644031964,20210.99651726307,67465.00013522954,6050.999940425261
5,72244.23820806725,178942.0832980295,4405.464227590019,17716.095035193255
6,50223.00007031791,132233.00010272415,44360.999968607626,37185.00013145237
7,48976.81054932982,118646.00017305101,62780.35195075867,43906.00003391128
8,133880.76195719402,104224.91678897935,14032.535734030611,15669.9048832411
9,31524.999807574502,192200.99946048076,18022.000430273936,16472.99995733062
