DISTRICT,HISP,NH_WHITE,NH_BLACK,NH_ASIAN
0,7648.000030704106,39640.000007781426,219613.00022013544,564.0000021449113
1,90089.00040336813,114432.00040297935,55751.000011633456,9792.000011271659
2,71372.99979299017,62261.9999075476,91668.99948117288,35958.00005580517
3,128185.00016527629,10843.666896140108,116821.67286103725,3337.5558206280166
4,39729.99999868408,26077.00005072666,199528.0001848028,4712.999995019487
5,19275.00001874818,209237.00015288347,20332.000245212457,22413.000025812922
6,136265.9998224061,52587.99998348482,83941.9998286912,1800.0000262603874
7,114457.99946752023,140823.88820572206,8848.000050783203,22392.99990614769
8,50686.00000880866,122556.99981878321,41048.999719124266,37112.99998384879
9,126619.00029149404,97349.4445739513,39491.32739740706,8185.444173060963
