DISTRICT,HISP,NH_WHITE,NH_BLACK,NH_ASIAN
0,155105.00001305641,56434.99999782266,60899.00024621416,2360.999998917879
1,46274.99995872422,184667.00030369346,16288.000586695936,20598.00009004711
2,83109.00020134832,106577.99968826193,48374.9993496831,23960.99993604096
3,106778.18927706145,26305.999963561117,104921.35267574561,25291.99999200719
4,47083.0000431545,54356.00024705041,165238.00001367115,4084.0000319423752
5,53875.9999705125,129760.99998042642,38043.000017964056,38138.999912001236
6,165312.99995547108,74088.99984134125,14811.000190667755,7039.999976089764
7,78949.00010211197,175523.99997203576,15102.999834484495,16321.00005379068
8,39894.99998073315,30457.99997482461,184518.99968980666,7915.00001075179
9,7945.810497826381,37636.00003098237,228847.64739506706,557.9999984110168
