DISTRICT,HISP,NH_WHITE,NH_BLACK,NH_ASIAN,NH_OTHER
0,12910.999868698866,52505.00018069648,162826.00003067777,25623.999887798407,5561.000012921951
1,168080.19745513296,65979.65701819175,29022.327587048083,7375.0357059916,3415.436623878831
2,56098.00003542651,127782.00005295979,41041.99994295332,26385.999901742827,5385.000009200907
3,62054.9996908343,179467.99933541904,15481.999857782304,11802.999987789684,5469.999983836775
4,52290.0000803679,135336.00000937862,43677.000002329914,39034.0000463954,8627.00001509274
5,174458.00072129193,54709.000456205766,31455.999649881735,9412.00024095393,1951.9999896296817
6,74243.80287824963,188138.6763585803,5502.999966431076,24318.408403668913,6229.563366818453
7,54252.00011340738,11854.000004350479,212172.00045284865,796.9999975663919,3310.000003194604
8,37330.99988343896,48954.99999330253,174714.99990085163,653.9999989632472,3196.9999967777535
9,92609.99927315157,11082.666590915234,161149.67260919552,865.555829129602,2190.999998648305
