DISTRICT,HISP,NH_WHITE,NH_BLACK,NH_ASIAN
0,37490.999976153595,10896.999989510197,212966.9996712075,317.9999998660984
1,41577.99996844696,190398.99997769942,12959.99996507512,14944.000057220419
2,73595.6120577556,172237.8857591369,6143.9999805439575,28453.495514234015
3,47824.99991511593,128083.99977830552,43629.99994876121,32218.999959439974
4,60042.00015963031,112623.00010529523,48275.99990459496,38728.999988681746
5,120185.99970248259,53303.00001317447,101221.99997920218,1526.9999954706109
6,107196.00018569423,79961.00012566472,69986.99991442662,9055.000000170116
7,6905.000042033052,20362.000016329675,231806.00027490486,5061.999999144479
8,122456.19871038632,55666.830424820946,97770.00008658542,5142.504446884282
9,167054.18928230144,52276.28381006292,52283.00027469816,10819.000038888258
