DISTRICT,HISP,NH_WHITE,NH_BLACK,NH_ASIAN
0,53262.688897380016,137639.7444406338,43649.54418230905,37210.17310176349
1,137566.8520780402,46490.431781756444,81352.67270086965,1560.888037890755
2,78657.83506197808,52292.02885149221,96688.55006466022,34168.79233062728
3,50022.80974495631,55857.315815000446,166566.83393699638,911.4987232004169
4,113841.41588210312,48841.46025602047,81761.65025664862,15149.404843593917
5,10690.681286889965,3679.859459605052,241641.00983668794,880.9819600594848
6,125121.66661633896,47228.4496530434,91540.54628000928,6631.990762980133
7,117342.44757899841,89902.0088492185,53005.52085461837,6430.881333194121
8,19073.05402879382,211676.33796320797,15872.880640651638,18539.47074983913
9,78749.54882452113,182202.36293002174,4965.791246548929,24784.918156851272
