DISTRICT,HISP,NH_WHITE,NH_BLACK,NH_ASIAN,NH_OTHER
0,22719.999800572332,6880.9999099619345,18944.99959372091,3486.99993719799,731.9999952794929
1,675.000003340654,227.99999825311582,53480.999808736524,31.99999958817319,533.9999995798258
2,3801.000018844089,35115.000073121446,18024.000521760445,386.99999888373304,777.0000111679826
3,2434.9999902788563,42840.00034860107,6303.99998132601,3057.0000160709214,1073.9999909040432
4,49684.00011113538,1079.0000009260739,4028.0000688821874,69.999997477284,206.00000268508728
5,9799.000062762458,25768.000183460397,12844.0001411745,3693.9999926534333,1065.9999980694502
6,46272.00002821422,8285.999968452692,846.0000031416416,505.9999981094524,232.9999938304361
7,26452.00004924505,22633.99999997982,3344.9999743290336,1433.0000119848332,1003.999999392693
8,22589.99981340933,22413.00002193148,2192.9999914612854,6294.999950420999,1540.9999842003833
9,42883.593657085206,6354.676048009207,2636.000009250833,2655.0000231054046,285.00000794704704
10,37053.000272290315,13007.000059845992,974.0000159549046,1372.99999028907,544.0000015050699
11,1013.0000059776676,2172.0000847047845,46850.00024480091,561.999998165579,1073.0000111525158
12,6697.999970850007,43100.99997300499,1886.000048224427,2934.0000290397575,1251.99999734931
13,24818.999949779954,13598.999992165976,3494.000073473078,10230.999960671325,792.0000016973222
14,1793.0023586445222,1232.0035496583237,51320.00024375001,198.00000008672836,598.0000054191426
15,31429.55344846003,2673.4555241160874,18755.988187907245,173.99999605275346,414.0000003570896
16,2905.999997751021,11521.000011464324,21852.999903883425,14926.000062147596,1025.999996211698
17,10487.472289984053,38671.930253044215,691.9999781946167,6641.083644120426,1488.0099600579779
18,3434.1124954967277,32274.355355793625,7659.072592996027,9024.482743059558,1538.0943571077082
19,1221.9999724264883,302.99999553916336,53852.99951725774,37.999999332910384,638.999994645013
20,14092.572510415433,35744.2044272973,533.000005332263,2866.235372330034,801.9999953761534
21,24130.292904276423,29124.111468044415,6229.827615753126,1616.9495128397932,689.0000071677731
22,24980.99998373558,22195.99994778677,1498.0000025356856,1791.00000208215,912.0000002622853
23,11933.986468059318,22927.580000495127,13414.921399001121,3638.0000067377573,1882.509477482472
24,25465.999915315184,5143.999997685712,23870.99990870564,130.99999878274357,565.9999954565204
25,6277.95507671139,50185.753802559746,631.9999908579954,3059.6809358117866,915.9900303370052
26,30982.99956008195,20244.99995000955,1096.9999732769986,1908.0000244629439,790.0000007484551
27,22857.999895512807,2987.999993755775,26392.00010758983,254.99999825817693,525.9999935910973
28,26562.786148909923,8695.902762536733,19662.439026932592,416.00000157187253,526.0000016847581
29,11272.707424268929,1444.000042322663,43198.17223652455,197.05052292967898,582.9999957348953
30,25031.00029399954,21729.000104772447,1697.000013958511,4122.000029902038,1359.0000239957028
31,10240.000058793397,24827.00019177123,2823.9999971288216,12996.000083636143,1846.0000231196448
32,4732.621011552198,1861.0000178423554,45864.999957589825,648.000000547605,667.9999986662478
33,11791.013482488192,22931.419977263417,7999.078622446255,9528.999939110961,1726.4905063360866
34,7186.999995544913,4833.9999994893,42283.00007624546,56.000000480259374,694.0000018178733
35,622.9999965244973,270.9999969765978,52868.000012585624,40.99999996734495,769.0000024942213
36,4311.0000995255195,665.000005291632,46018.99969141045,100.99999681522439,854.9999970099993
37,24551.40683178263,30237.324048973696,558.9999956733026,477.99999678124857,455.00000119915853
38,3070.887508661055,40250.64444584322,3760.927380411374,7996.517279949539,1299.9056466156912
39,2376.9999935597266,15183.999920783617,31513.00031602888,4273.0000056812805,1793.000000614754
40,6561.000128109396,24937.000376681444,12286.000076780372,6837.000064871895,1503.0000155597836
41,30200.378566462678,4599.999963877783,15811.999797881146,472.00001593927686,392.99999902493266
42,17530.997504903946,2386.996440341192,33610.00000240834,116.9999992584884,383.99999995805587
43,14214.000132010524,873.0000210150607,36173.99984883666,75.00000776930962,467.99999643293404
44,16833.00003673435,29016.99984997155,4617.0000653859015,1937.999978630984,1157.0000012296973
45,3948.9999923697633,43013.99973740523,2935.9999780720245,4010.999980004623,1233.0000051311597
46,4279.999979367993,45141.99981428381,2088.000006991336,2462.9999721931777,1159.999992680955
47,755.6604302494718,3790.6416493289667,50729.57320870038,72.0000016417799,715.999997314942
48,10351.999896518528,28463.99968603836,6221.999871376723,6188.999917565187,1458.9999842036975
49,39012.99987700638,1947.0000075205687,10670.999913353062,258.0000049887674,391.00000019375835
