DISTRICT,HISP,NH_WHITE,NH_BLACK,NH_ASIAN
0,102513.00003731876,56279.00001547503,122556.99982869622,1298.9999982376762
1,98883.81050991651,12751.999904960352,139026.64804211564,5690.999959485666
2,24985.999894146564,197016.9989281626,22727.99970569313,22271.99971101498
3,83132.60291239667,183125.67204446453,4831.4003338621915,19069.600231334836
4,125397.99988173509,45497.99993930345,89918.00009979935,2411.000002965586
5,38927.999987878306,11308.999998519661,212722.9987170294,374.9999959428141
6,137617.39719619977,31710.328013511717,110633.59965813257,3458.399781713909
7,24962.189521309916,78847.99974767266,115846.35339594804,39569.00000546144
8,65207.000063362,116624.00036466148,31372.000281984518,37993.00022831708
9,82700.9999957364,142647.00104326854,27408.99993673892,14131.000085526004
